,SECTORID,SECTORNAME,STARTIC,ENDIC,LENGTH,LANENO,INTDIR,GROUPID,LANELENGTH,MODEL,CMSDESC,STATUS,TRAVELTIME,CAPACITY,START_X,START_Y,END_X,END_Y
694,L31614,永科環路(永科五路->永科七路),I3171,I3161,228,2,0,0,7,十字型,0,y,10,10,120.275447,23.038565,,
695,L31662,永科五路(永科環路->永科王田大道),I3171,I3166,259,2,0,0,7,十字型,0,y,10,10,120.275447,23.038565,120.27793899999999,23.039222
696,L31716,永科五路(永科王田大道->永科環路),I3166,I3171,258,2,0,0,7,十字型,0,y,10,10,120.27793899999999,23.039222,120.275447,23.038565
697,L31654,永科王田大道(永科五路->永科七路),I3166,I3165,239,2,0,0,7,十字型,0,y,10,10,120.27793899999999,23.039222,120.279284,23.037457
698,L31660,永科王田大道(永科七路->永科五路),I3165,I3166,241,2,0,0,7,十字型,0,y,10,10,120.279284,23.037457,120.27793899999999,23.039222
699,L31720,永科環路(永科五路->永科三路),I3171,I3172,227,2,0,0,7,十字型,0,y,10,10,120.275447,23.038565,120.27483799999999,23.040517
700,L31714,永科環路(永科三路->永科五路),I3172,I3171,227,2,0,0,7,十字型,0,y,10,10,120.27483799999999,23.040517,120.275447,23.038565
701,L31672,永科三路(永科環路->永科王田大道),I3172,I3167,247,2,0,0,7,十字型,0,y,10,10,120.27483799999999,23.040517,120.277156,23.041120000000003
702,L31726,永科三路(永科王田大道->永科環路),I3167,I3172,247,2,0,0,7,十字型,0,y,10,10,120.277156,23.041120000000003,120.27483799999999,23.040517
703,L31664,永科王田大道(永科三路->永科五路),I3167,I3166,221,2,0,0,7,十字型,0,y,10,10,120.277156,23.041120000000003,120.27793899999999,23.039222
704,L31670,永科王田大道(永科五路->永科三路),I3166,I3167,220,2,0,0,7,十字型,0,y,10,10,120.27793899999999,23.039222,120.277156,23.041120000000003
705,L31792,永科三路(永科王田大道->永科東路),I3167,I3179,337,2,0,0,7,十字型,0,y,10,10,120.277156,23.041120000000003,120.280325,23.04192
706,L31676,永科三路(永科東路->永科王田大道),I3179,I3167,337,2,0,0,7,十字型,0,y,10,10,120.280325,23.04192,120.277156,23.041120000000003
707,L31782,永科五路(永科王田大道->永科東路),I3166,I3178,324,2,0,0,7,十字型,0,y,10,10,120.27793899999999,23.039222,120.28090300000001,23.040015
708,L31666,永科五路(永科東路->永科王田大道),I3178,I3166,324,2,0,0,7,十字型,0,y,10,10,120.28090300000001,23.040015,120.27793899999999,23.039222
709,L31774,永科東路(永科五路->永科七路),I3178,I3177,219,2,0,0,7,十字型,0,y,10,10,120.28090300000001,23.040015,120.28153700000001,23.038082
710,L31780,永科東路(永科七路->永科五路),I3177,I3178,219,2,0,0,7,十字型,0,y,10,10,120.28153700000001,23.038082,120.28090300000001,23.040015
711,L31784,永科東路(永科三路->永科五路),I3179,I3178,217,2,0,0,7,十字型,0,y,10,10,120.280325,23.04192,120.28090300000001,23.040015
712,L31790,永科東路(永科五路->永科三路),I3178,I3179,217,2,0,0,7,十字型,0,y,10,10,120.28090300000001,23.040015,120.280325,23.04192
713,L31730,永科環路(永科三路->永科一路),I3172,I3173,217,2,0,0,7,十字型,0,y,10,10,120.27483799999999,23.040517,120.274527,23.042462
714,L31724,永科環路(永科一路->永科三路),I3173,I3172,213,2,0,0,7,十字型,0,y,10,10,120.274527,23.042462,120.27483799999999,23.040517
715,L31682,永科一路(永科環路->永科王田大道),I3173,I3168,221,2,0,0,7,十字型,0,y,10,10,120.274527,23.042462,120.27657099999999,23.043001999999998
716,L31736,永科一路(永科王田大道->永科環路),I3168,I3173,221,2,0,0,7,十字型,0,y,10,10,120.27657099999999,23.043001999999998,120.274527,23.042462
717,L31674,永科王田大道(永科一路->永科三路),I3168,I3167,210,2,0,0,7,十字型,0,y,10,10,120.27657099999999,23.043001999999998,120.277156,23.041120000000003
718,L31680,永科王田大道(永科三路->永科一路),I3167,I3168,212,2,0,0,7,十字型,0,y,10,10,120.277156,23.041120000000003,120.27657099999999,23.043001999999998
719,L31802,永科一路(永科王田大道->永科東路),I3168,I3180,343,2,0,0,7,十字型,0,y,10,10,120.27657099999999,23.043001999999998,120.27976699999999,23.043802
720,L20654,永科王田大道(永科南路 -> 台20線道),I3163,I2065,216,2,0,0,7,十字型,0,y,10,10,120.28041599999999,23.033868,0.0,0.0
721,L31630,永科王田大道(台20線道->永科南路),I2065,I3163,216,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.28041599999999,23.033868
722,L31632,永科南路(王行路->永科王田大道),I2978,I3163,634,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.28041599999999,23.033868
723,L31742,永科南路(永科王田大道->王行東路),I3163,I3174,450,2,0,0,7,十字型,0,y,10,10,120.28041599999999,23.033868,120.284754,23.035002
724,L31636,永科南路(王行東路->永科王田大道),I3174,I3163,448,2,0,0,7,十字型,0,y,10,10,120.284754,23.035002,120.28041599999999,23.033868
725,L15254,王行東路(永科南路->台20線道),I3174,I1525,179,2,0,0,7,十字型,0,y,10,10,120.284754,23.035002,120.285021,23.033345
726,L31740,王行東路(台20線道->永科南路),I1525,I3174,179,2,0,0,7,十字型,0,y,10,10,120.285021,23.033345,120.284754,23.035002
727,L31634,永科王田大道(永科環路->永科南路),I3164,I3163,210,2,0,0,7,十字型,0,y,10,10,120.279876,23.035664,120.28041599999999,23.033868
728,L31640,永科王田大道(永科南路->永科環路),I3163,I3164,210,2,0,0,7,十字型,0,y,10,10,120.28041599999999,23.033868,120.279876,23.035664
729,L31752,永科環路(永科王田大道->永科東路),I3164,I3175,238,2,0,0,7,十字型,0,y,10,10,120.279876,23.035664,120.282098,23.036302
730,L31646,永科環路(永科東路->永科王田大道),I3175,I3164,238,2,0,0,7,十字型,0,y,10,10,120.282098,23.036302,120.279876,23.035664
731,L31756,永科環路(王行東路->永科東路),I3176,I3175,229,2,0,0,7,十字型,0,y,10,10,120.284301,23.036904,120.282098,23.036302
732,L31762,永科環路(永科東路->王行東路),I3175,I3176,229,2,0,0,7,十字型,0,y,10,10,120.282098,23.036302,120.284301,23.036904
733,L31744,王行東路(永科環路->台20線道),I3176,I3174,212,2,0,0,7,十字型,0,y,10,10,120.284301,23.036904,120.284754,23.035002
734,L31760,王行東路(台20線道->永科環路),I3174,I3176,212,2,0,0,7,十字型,0,y,10,10,120.284754,23.035002,120.284301,23.036904
735,L31644,永科王田大道(永科七路->永科環路),I3165,I3164,202,2,0,0,7,十字型,0,y,10,10,120.279284,23.037457,120.279876,23.035664
736,L31650,永科王田大道(永科環路->永科七路),I3164,I3165,202,2,0,0,7,十字型,0,y,10,10,120.279876,23.035664,120.279284,23.037457
737,L31772,永科七路(永科王田大道->永科東路),I3165,I3177,242,2,0,0,7,十字型,0,y,10,10,120.279284,23.037457,120.28153700000001,23.038082
738,L31656,永科七路(永科東路->永科王田大道),I3177,I3165,242,2,0,0,7,十字型,0,y,10,10,120.28153700000001,23.038082,120.279284,23.037457
739,L31754,永科東路(永科七路->永科環路),I3177,I3175,202,2,0,0,7,十字型,0,y,10,10,120.28153700000001,23.038082,120.282098,23.036302
740,L31770,永科東路(永科環路->永科七路),I3175,I3177,202,2,0,0,7,十字型,0,y,10,10,120.282098,23.036302,120.28153700000001,23.038082
741,L31832,永科七路(永科東路->王行東路),I3177,I3183,254,2,0,0,7,十字型,0,y,10,10,120.28153700000001,23.038082,120.28391200000002,23.038701
742,L31776,永科七路(王行東路->永科東路),I3183,I3177,254,2,0,0,7,十字型,0,y,10,10,120.28391200000002,23.038701,120.28153700000001,23.038082
743,L31764,王行東路(永科七路->永科環路),I3183,I3176,204,2,0,0,7,十字型,0,y,10,10,120.28391200000002,23.038701,120.284301,23.036904
744,L31830,王行東路(永科環路->永科七路),I3176,I3183,204,2,0,0,7,十字型,0,y,10,10,120.284301,23.036904,120.28391200000002,23.038701
745,L31932,南100鄉道(台1線->開元路),I3154,I3193,168,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
746,L31546,南100鄉道(開元路->台1線),I3193,I3154,171,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
747,L22415,開元路(南100鄉道->火車站圓環),I3193,I2241,311,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
748,L31931,開元路(火車站圓環->南100鄉道),I2241,I3193,311,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
749,L27665,新進路(火車站圓環->同濟街),I2241,I2766,315,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.320753,23.304578
750,L22410,新進路(同濟街->火車站圓環),I2766,I2241,316,2,0,0,7,十字型,0,y,10,10,120.320753,23.304578,0.0,0.0
751,L31925,中山路(火車站圓環->同濟街),I2241,I3192,233,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
752,L22411,中山路(同濟街->火車站圓環),I3192,I2241,233,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
753,L31920,同濟街(新進路->中山路),I2766,I3192,138,2,0,0,7,十字型,0,y,10,10,120.320753,23.304578,0.0,0.0
754,L27664,同濟街(中山路->新進路),I3192,I2766,138,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.320753,23.304578
755,L31915,中山路(同濟街->民族路),I3192,I3191,178,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
756,L31921,中山路(民族路->同濟街),I3191,I3192,178,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
757,L31905,中山路(民族路->新營市園環),I3191,I3190,199,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.31673700000002,23.304474
758,L31911,中山路(新營市園環->民族路),I3190,I3191,199,2,0,0,7,十字型,0,y,10,10,120.31673700000002,23.304474,0.0,0.0
759,L22545,中山路(新營市園環->復興路),I3190,I2254,348,2,0,0,7,十字型,0,y,10,10,120.31673700000002,23.304474,120.31394099999999,23.302521
760,L31901,中山路(復興路->新營市園環),I2254,I3190,348,2,0,0,7,十字型,0,y,10,10,120.31394099999999,23.302521,120.31673700000002,23.304474
761,L31896,復興路(延平路->和平路),I2254,I3189,436,2,0,0,7,十字型,0,y,10,10,120.31394099999999,23.302521,120.30979599999999,23.303427
762,L22542,復興路(和平路->延平路),I3189,I2254,437,2,0,0,7,十字型,0,y,10,10,120.30979599999999,23.303427,120.31394099999999,23.302521
763,L31886,復興路(和平路->三民路),I3189,I3188,259,2,0,0,7,十字型,0,y,10,10,120.30979599999999,23.303427,120.30720900000001,23.302974
764,L31892,復興路(三民路->和平路),I3188,I3189,259,2,0,0,7,十字型,0,y,10,10,120.30720900000001,23.302974,120.30979599999999,23.303427
765,L31876,復興路(三民路->復興路220巷),I3188,I3187,141,2,0,0,7,十字型,0,y,10,10,120.30720900000001,23.302974,120.305875,23.303292000000003
766,L31882,復興路(復興路220巷->三民路),I3187,I3188,140,2,0,0,7,十字型,0,y,10,10,120.305875,23.303292000000003,120.30720900000001,23.302974
767,L31866,復興路(復興路220巷->公園路一段),I3187,I3186,42,2,0,0,7,十字型,0,y,10,10,120.305875,23.303292000000003,120.305456,23.303431
768,L31872,復興路(公園路一段->復興路220巷),I3186,I3187,42,2,0,0,7,十字型,0,y,10,10,120.305456,23.303431,120.305875,23.303292000000003
769,L15056,復興路(公園路一段->民治路),I3186,I1505,307,2,0,0,7,十字型,0,y,10,10,120.305456,23.303431,0.0,0.0
770,L31862,復興路(民治路->公園路一段),I1505,I3186,306,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.305456,23.303431
771,L22536,復興路(民治路->太子路),I1505,I2253,169,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
772,L15052,復興路(太子路->民治路),I2253,I1505,169,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
773,L20916,復興路(太子路->金華路),I2253,I2091,346,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
774,L22532,復興路(金華路->太子路),I2091,I2253,364,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
775,L31856,復興路(金華路->復興路620巷),I2091,I3185,127,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.296333,23.305820999999998
776,L20912,復興路(復興路620巷->金華路),I3185,I2091,127,2,0,0,7,十字型,0,y,10,10,120.296333,23.305820999999998,0.0,0.0
777,L31846,復興路(復興路620巷->縣道172),I3185,I3184,289,2,0,0,7,十字型,0,y,10,10,120.296333,23.305820999999998,120.29356299999999,23.306568
778,L31852,復興路(縣道172->復興路620巷),I3184,I3185,288,2,0,0,7,十字型,0,y,10,10,120.29356299999999,23.306568,120.296333,23.305820999999998
779,L28286,復興路(縣道172->新營交流道),I3184,I2828,290,2,0,0,7,十字型,0,y,10,10,120.29356299999999,23.306568,,
780,L31842,復興路(新營交流道->縣道172),I2828,I3184,292,2,0,0,7,十字型,0,y,10,10,,,120.29356299999999,23.306568
781,L31692,永科環路(永科一路->永科王田大道),I3173,I3169,260,2,0,0,7,十字型,0,y,10,10,120.274527,23.042462,120.2762,23.044276
782,L31730,永科環路(永科王田大道->永科一路),I3173,I3169,276,2,0,0,7,十字型,0,y,10,10,120.274527,23.042462,120.2762,23.044276
783,L31684,永科王田大道(永科環路->永科一路),I3169,I3168,150,2,0,0,7,十字型,0,y,10,10,120.2762,23.044276,120.27657099999999,23.043001999999998
784,L31690,永科王田大道(永科一路->永科環路),I3168,I3169,149,2,0,0,7,十字型,0,y,10,10,120.27657099999999,23.043001999999998,120.2762,23.044276
785,L31810,永科東路(永科一路->永科環路),I3180,I3181,274,2,0,0,7,十字型,0,y,10,10,120.27976699999999,23.043802,120.27901899999999,23.04616
786,L31804,永科東路(永科環路->永科一路),I3181,I3180,269,2,0,0,7,十字型,0,y,10,10,120.27901899999999,23.04616,120.27976699999999,23.043802
787,L31812,永科環路(永科王田大道->永科東路),I3169,I3181,357,2,0,0,7,十字型,0,y,10,10,120.2762,23.044276,120.27901899999999,23.04616
788,L31696,永科環路(永科東路->永科王田大道),I3181,I3169,357,2,0,0,7,十字型,0,y,10,10,120.27901899999999,23.04616,120.2762,23.044276
789,L31694,永科王田大道(永科北路->永科環路),I3170,I3169,176,2,0,0,7,十字型,0,y,10,10,120.275724,23.045852,120.2762,23.044276
790,L31700,永科王田大道(永科環路->永科北路),I3169,I3170,176,2,0,0,7,十字型,0,y,10,10,120.2762,23.044276,120.275724,23.045852
791,L31822,永科北路(永科王田大道->永科東路),I3170,I3182,352,2,0,0,7,十字型,0,y,10,10,120.275724,23.045852,120.27848999999999,23.047673
792,L31706,永科北路(永科東路->永科王田大道),I3182,I3170,352,2,0,0,7,十字型,0,y,10,10,120.27848999999999,23.047673,120.275724,23.045852
793,L31814,永科東路(永科北路->永科環路),I3182,I3181,172,2,0,0,7,十字型,0,y,10,10,120.27848999999999,23.047673,120.27901899999999,23.04616
794,L31820,永科東路(永科環路->永科北路),I3181,I3182,174,2,0,0,7,十字型,0,y,10,10,120.27901899999999,23.04616,120.27848999999999,23.047673
795,L29826,永科北路(永科王田大道->王行路),I3170,I2982,127,2,0,0,7,十字型,0,y,10,10,120.275724,23.045852,0.0,0.0
796,L31702,永科北路(王行路->永科王田大道),I2982,I3170,122,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.275724,23.045852
797,L31704,永科王田大道(王行路->永科北路),I2983,I3170,94,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.275724,23.045852
798,L29830,永科王田大道(永科北路->王行路),I3170,I2983,102,2,0,0,7,十字型,0,y,10,10,120.275724,23.045852,0.0,0.0
799,L29816,永科一路(永科環路->王行路),I3173,I2981,120,2,0,0,7,十字型,0,y,10,10,120.274527,23.042462,0.0,0.0
800,L31732,永科一路(王行路->永科環路),I2981,I3173,125,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.274527,23.042462
801,L31574,中山北路764巷接西勢路174巷(台20線->縣道180),I2065,I3157,1306,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
802,L20650,中山北路764巷接西勢路174巷(縣道180->台20線),I3157,I2065,1306,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
803,L31572,縣道180(富強路一段->西勢路199巷),I3001,I3157,160,2,0,0,7,十字型,0,y,10,10,,,,
804,L30016,縣道180(西勢路199巷->富強路一段),I3157,I3001,161,2,0,0,7,十字型,0,y,10,10,,,,
805,L31582,縣道180(西勢路199巷->廣盛街),I3157,I3158,209,2,0,0,7,十字型,0,y,10,10,,,,
806,L31576,縣道180(廣盛街->西勢路199巷),I3158,I3157,206,2,0,0,7,十字型,0,y,10,10,,,,
807,L31592,縣道180(廣盛街->西勢路13巷),I3158,I3159,237,2,0,0,7,十字型,0,y,10,10,,,,
808,L31586,縣道180(西勢路13巷->廣盛街),I3159,I3158,237,2,0,0,7,十字型,0,y,10,10,,,,
809,L31602,縣道180(西勢路13巷->新灣橋東邊),I3159,I3160,239,2,0,0,7,十字型,0,y,10,10,,,,
810,L31596,縣道180(新灣橋東邊->西勢路13巷),I3160,I3159,235,2,0,0,7,十字型,0,y,10,10,,,,
811,L31622,縣道180(新灣橋東邊->崙子頂392號),I3160,I3162,425,2,0,0,7,十字型,0,y,10,10,,,,
812,L31606,縣道180(崙子頂392號->新灣橋東邊),I3162,I3160,426,2,0,0,7,十字型,0,y,10,10,,,,
813,L27221,縣道180(崙子頂392號->高鐵橋下台南路段),I3162,I2722,298,2,0,0,7,十字型,0,y,10,10,,,120.289317,23.023394
814,L31626,縣道180(高鐵橋下台南路段->崙子頂392號),I2722,I3162,296,2,0,0,7,十字型,0,y,10,10,120.289317,23.023394,,
815,L32234,義林路(中山路->義林六街),I1391,I3223,108,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
816,L13910,義林路(義林六街->中山路),I3223,I1391,107,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
817,L13824,義林路(義林六街->義林五街),I3223,I1382,50,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.26367900000001,22.969128
818,L32230,義林路(義林五街->義林六街),I1382,I3223,50,2,0,0,7,十字型,0,y,10,10,120.26367900000001,22.969128,0.0,0.0
819,L13904,義林路(義林五街->義林三街),I1382,I1390,56,2,0,0,7,十字型,0,y,10,10,120.26367900000001,22.969128,120.26351000000001,22.968167
820,L13820,義林路(義林三街->義林五街),I1390,I1382,56,2,0,0,7,十字型,0,y,10,10,120.26351000000001,22.968167,120.26367900000001,22.969128
821,L32244,義林路(義林三街->中正二路1034巷),I1390,I3224,102,2,0,0,7,十字型,0,y,10,10,120.26351000000001,22.968167,0.0,0.0
822,L13900,義林路(中正二路1034巷->義林三街),I3224,I1390,102,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.26351000000001,22.968167
823,L00476,民族路二段(公園路>忠義路二段),I0338,I0047,165,2,0,0,7,十字型,0,y,10,10,120.20581399999999,22.995722,120.204104,22.996311
824,L00846,友愛街(西門路二段>海安路一段),I0494,I0084,225,2,0,0,7,十字型,0,y,10,10,120.19832099999999,22.991782999999998,120.19583700000001,22.992264000000002
825,L01362,健康路一段(金華路二段>三官路),I0176,I0136,215,2,0,0,7,十字型,0,y,10,10,120.191543,22.981585,120.193873,22.981519
826,L01864,金華路二段(永華路一段>健南路),I0010,I0186,345,2,0,0,7,十字型,0,y,10,10,120.19205900000001,22.988166,120.191772,22.984848
827,L02390,育平路(府平路>郡平路),I0726,I0239,215,2,0,0,7,十字型,0,y,10,10,120.258306,23.08247,0.0,0.0
828,L02982,五妃街(西門路一段>永褔路一段),I0019,I0298,235,2,0,0,7,十字型,0,y,10,10,120.197644,22.982695,120.20013300000001,22.982638
829,L03431,新興路(夏林路>西門路一段),I0210,I0343,260,2,0,0,7,十字型,0,y,10,10,120.19519199999999,22.978185,120.197705,22.979979999999998
830,L03812,永華路二段(段育平路>健康3街),I0453,I0381,150,2,0,0,7,十字型,0,y,10,10,120.16738400000001,22.991597,120.169001,22.991389
831,L10731,萬年路(萬年一街->台86),I3390,I1073,255,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
832,L04767,東門路三段(東門路三段338巷>自由路),I0339,I0476,50,2,0,0,7,十字型,0,y,10,10,120.23826799999999,22.975479999999997,120.23748700000002,22.975893
833,L05126,東門路二段(東門路二段43巷口>長榮路二段),I0741,I0512,125,2,0,0,7,十字型,0,y,10,10,120.220219,22.986209,120.218847,22.986616
834,L05606,長和路一段(環館路>長和路二段12巷),I0858,I0560,500,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.22466499999999,23.064251000000002
835,L05796,裕平路(裕孝路>裕忠路),I0539,I0579,155,2,0,0,7,十字型,0,y,10,10,120.24352900000001,22.985047,120.24179099999999,22.985048000000003
836,L06214,育德路(文成路>和緯路二段),I0243,I0621,45,2,0,0,7,十字型,0,y,10,10,120.20656299999999,23.012787,120.20644899999999,23.012167
837,L06402,中正路(海安路>國華街),I0082,I0640,115,2,0,0,7,十字型,0,y,10,10,120.196082,22.993289,120.197424,22.993019
838,L13682,文化三街(文化一街->文化二街),I1136,I1368,127,2,0,0,7,十字型,0,y,10,10,120.232092,22.976226,120.23336100000002,22.976382
839,L06410,建平路(府前路>慶平路),I0272,I0641,365,2,0,0,7,十字型,0,y,10,10,120.183456,22.993370000000002,120.184224,22.99679
840,L06412,慶平路(健康三街>建平路),I1198,I0641,186,2,0,0,7,十字型,0,y,10,10,120.18217299999999,22.996949,120.184224,22.99679
841,L06416,慶平路(府前四街>建平路),I0720,I0641,85,2,0,0,7,十字型,0,y,10,10,120.185299,22.996703,120.184224,22.99679
842,L06422,安中路三段(仁安路>海中街),I0373,I0642,380,2,0,0,7,十字型,0,y,10,10,120.17990800000001,23.051781,120.17873600000001,23.048299
843,L06426,安中路二段(海佃路三段>海中街),I0568,I0642,485,2,0,0,7,十字型,0,y,10,10,120.18400700000001,23.047152,120.17873600000001,23.048299
844,L06432,和緯路五段(西賢街>湖美街),I0497,I0643,105,2,0,0,7,十字型,0,y,10,10,120.178875,23.005142000000003,120.180052,23.005103
845,L06436,和緯路五段(湖美一街>湖美街),I0701,I0643,100,2,0,0,7,十字型,0,y,10,10,120.18117099999999,23.005024,120.180052,23.005103
846,L06440,中華西路二段(永華路二段>南島路),I0055,I0644,175,2,0,0,7,十字型,0,y,10,10,120.186975,22.989078,120.18701200000001,22.990842
847,L06444,中華西路二段(府前路二段>北成路),I0500,I0644,160,2,0,0,7,十字型,0,y,10,10,120.186884,22.992713000000002,120.18701200000001,22.990842
848,L06452,永華路一段(金華路二段>郡西路),I0010,I0645,170,2,0,0,7,十字型,0,y,10,10,120.19205900000001,22.988166,120.19398000000001,22.987841
849,L06456,永華路一段(夏林路>郡西路),I0203,I0645,75,2,0,0,7,十字型,0,y,10,10,120.194891,22.987607,120.19398000000001,22.987841
850,L11366,文化三街(文化二街->文化一街),I1368,I1136,127,2,0,0,7,十字型,0,y,10,10,120.23336100000002,22.976382,120.232092,22.976226
851,L06464,平豐路(建平七街>郡平路),I0739,I0646,116,2,0,0,7,十字型,0,y,10,10,120.16411599999999,22.990729,0.0,0.0
852,L06473,安和路六段(安和路五段336巷>陸發加油站),I0712,I0647,170,2,0,0,7,十字型,0,y,10,10,120.216029,23.069631,120.216773,23.06808
853,L06477,安和路六段(安和路五段276巷>陸發加油站),I0390,I0647,40,2,0,0,7,十字型,0,y,10,10,120.217013,23.067629,120.216773,23.06808
854,L06480,北安路(長和路三段>安和路六段),I0412,I0648,775,2,0,0,7,十字型,0,y,10,10,120.214256,23.063747,120.215387,23.071069
855,L06487,安和路六段(安和路五段336巷>北安路),I0712,I0648,160,2,0,0,7,十字型,0,y,10,10,120.216029,23.069631,120.215387,23.071069
856,L06491,西門路四段(北安路一段>北成路),I0086,I0649,205,2,0,0,7,十字型,0,y,10,10,120.21071200000002,23.016372,120.21216100000001,23.018025
857,L06495,西門路四段(正覺街>北成路),I0113,I0649,110,2,0,0,7,十字型,0,y,10,10,120.212883,23.018794,120.21216100000001,23.018025
858,L06501,和緯路五段(湖美一街>賢北街),I0701,I0650,305,2,0,0,7,十字型,0,y,10,10,120.18117099999999,23.005024,120.184215,23.005935
859,L06505,和緯路五段(中華北路一段>賢北街),I0567,I0650,210,2,0,0,7,十字型,0,y,10,10,120.186301,23.006815,120.184215,23.005935
860,L06522,府前路一段(康樂街>郡西路),I0359,I0652,50,2,0,0,7,十字型,0,y,10,10,120.194181,22.991273,120.19479199999999,22.991153
861,L06526,府前路一段(海安路>郡西路),I0029,I0652,45,2,0,0,7,十字型,0,y,10,10,120.19553400000001,22.991013,120.19479199999999,22.991153
862,L06536,東寧路(勝利路>慶東街),I0122,I0653,110,2,0,0,7,十字型,0,y,10,10,120.21788000000001,22.992354000000002,120.27786699999999,22.934009
863,L06540,林森路二段(舉重館前>長榮路三段66巷),I0273,L0654,105,2,0,0,7,十字型,0,y,10,10,120.22393600000001,22.992511,0.0,0.0
864,L06544,林森路二段(大學東路>長榮路三段66巷),I0215,I0654,240,2,0,0,7,十字型,0,y,10,10,120.224166,22.995854,120.27798500000002,22.933270999999998
865,L06552,長和路三段(北安路四段>長和路三段),I0412,I0655,90,2,0,0,7,十字型,0,y,10,10,120.214256,23.063747,120.333602,22.958984
866,L06556,長和路三段(安和路四段537巷>長和路三段),I0764,I0655,115,2,0,0,7,十字型,0,y,10,10,120.216944,23.063411,120.333602,22.958984
867,L06563,長溪街二段(台江大道>長溪街二段598巷),I1036,I0656,275,2,0,0,7,十字型,0,y,10,10,120.200645,23.059247,120.20210900000001,23.055820999999998
868,L06567,長溪街二段(總安街二段>長溪街二段598巷),I0319,I0656,80,2,0,0,7,十字型,0,y,10,10,120.202297,23.054142000000002,120.20210900000001,23.055820999999998
869,L06576,長榮路五段(大武街>長榮路五段401巷),I0750,I0657,295,2,0,0,7,十字型,0,y,10,10,120.21595,23.012923,120.21281,23.01326
870,L06583,海佃路二段(安中路二段口>海佃路二段766巷),I0568,I0658,165,2,0,0,7,十字型,0,y,10,10,120.18400700000001,23.047152,120.18503799999999,23.045725
871,L06587,海佃路二段(海佃路2段636巷>海佃路二段766巷),I0844,I0658,40,2,0,0,7,十字型,0,y,10,10,120.18646100000001,23.043672,120.18503799999999,23.045725
872,L06593,崇善路(林森路一段>崇德1街),I0442,I0659,175,2,0,0,7,十字型,0,y,10,10,120.21994199999999,22.983442999999998,120.22128300000001,22.982062
873,L06597,崇善路(德光街>崇德1街),I0660,I0659,175,2,0,0,7,十字型,0,y,10,10,120.222765,22.981044,120.22128300000001,22.982062
874,L06603,崇善路(崇德1街>德光街),I0659,I0660,175,2,0,0,7,十字型,0,y,10,10,120.22128300000001,22.982062,120.222765,22.981044
875,L06394,長榮路三段(大學東路>長榮路三段66巷),I0216,I0639,230,2,0,0,7,十字型,0,y,10,10,120.221915,22.996014000000002,120.22173400000001,22.993739
876,L06613,崇德路(林森路一段>崇德1街),I0148,I0661,360,2,0,0,7,十字型,0,y,10,10,120.21733300000001,22.982597,120.219404,22.979746
877,L06617,崇德路(崇學路>崇德1街),I0509,I0661,265,2,0,0,7,十字型,0,y,10,10,120.22160900000002,22.978189999999998,120.219404,22.979746
