,SECTORID,SECTORNAME,STARTIC,ENDIC,LENGTH,LANENO,INTDIR,GROUPID,LANELENGTH,MODEL,CMSDESC,STATUS,TRAVELTIME,CAPACITY,START_X,START_Y,END_X,END_Y
560,L05101,林森路二段(崇善路>東門路二段),I0442,I0510,280,2,0,0,7,十字型,0,y,10,10,120.21994199999999,22.983442999999998,120.22246499999999,22.985535000000002
561,L05102,東門路二段(東門路二段43巷>林森路二段),I0741,I0510,195,2,0,0,7,十字型,0,y,10,10,120.220219,22.986209,120.22246499999999,22.985535000000002
562,L05104,林森路二段(衛國街>東門路二段),I0443,I0510,170,2,0,0,7,十字型,0,y,10,10,120.22304,22.98715,120.22246499999999,22.985535000000002
563,L05107,東門路二段(裕農路>林森路二段),I0583,I0510,180,2,0,0,7,十字型,0,y,10,10,120.224332,22.984878,120.22246499999999,22.985535000000002
564,L05110,金華路一段(中華南路二段>金華路一段101巷),I0625,I0511,265,2,0,0,7,十字型,0,y,10,10,120.189272,22.961279,120.189679,22.963911
565,L05114,金華路一段(永仁街>金華路一段101巷),I0398,I0511,125,2,0,0,7,十字型,0,y,10,10,120.189865,22.965118,120.189679,22.963911
566,L05120,長榮路二段(府東路>東門路二段),I0557,I0512,65,2,0,0,7,十字型,0,y,10,10,120.21861100000001,22.985886999999998,120.218847,22.986616
567,L05122,東門路一段(慶東路>長榮路二段),I0040,I0512,280,2,0,0,7,十字型,0,y,10,10,120.216195,22.987482,120.218847,22.986616
568,L05124,長榮路二段(長榮路二段24巷>東門路二段),I0678,I0512,65,2,0,0,7,十字型,0,y,10,10,120.219121,22.987344,120.218847,22.986616
569,L05380,裕信路(裕文路>裕平路),I0534,I0538,280,2,0,0,7,十字型,0,y,10,10,120.24512299999999,22.982315,120.245121,22.985047
570,L05382,裕平路(裕孝路>裕信路),I0539,I0538,140,2,0,0,7,十字型,0,y,10,10,120.24352900000001,22.985047,120.245121,22.985047
571,L05384,裕信路(裕英街>裕平路),I0788,I0538,170,2,0,0,7,十字型,0,y,10,10,120.24511299999999,22.986796,120.245121,22.985047
572,L05386,裕平路(裕義路>裕信路),I0733,I0538,260,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.245121,22.985047
573,L05390,裕孝路(裕文路>裕平路),I0665,I0539,275,2,0,0,7,十字型,0,y,10,10,120.243528,22.982298,120.24352900000001,22.985047
574,L05392,裕平路(裕忠路>裕孝路),I0579,I0539,155,2,0,0,7,十字型,0,y,10,10,120.24179099999999,22.985048000000003,120.24352900000001,22.985047
575,L05394,裕孝路(裕和路>裕平路),I0736,I0539,280,2,0,0,7,十字型,0,y,10,10,120.243541,22.987841,120.24352900000001,22.985047
576,L05396,裕平路(裕信路>裕孝路),I0538,I0539,140,2,0,0,7,十字型,0,y,10,10,120.245121,22.985047,120.24352900000001,22.985047
577,L05404,裕孝路(裕文路>裕敬路),I0665,I0540,250,2,0,0,7,十字型,0,y,10,10,120.243528,22.982298,120.24351200000001,22.979876
578,L05406,裕敬路(裕信路>裕孝路),I0536,I0540,140,2,0,0,7,十字型,0,y,10,10,120.24512299999999,22.979874,120.24351200000001,22.979876
579,L05412,裕文路(東成街185巷>裕忠路),I0819,I0541,450,2,0,0,7,十字型,0,y,10,10,120.237197,22.983118,120.241165,23.060919000000002
580,L05414,裕忠路(裕平路>裕文路),I0579,I0541,240,2,0,0,7,十字型,0,y,10,10,120.24179099999999,22.985048000000003,120.241165,23.060919000000002
581,L05416,裕文路(裕孝路>裕忠路),I0665,I0541,155,2,0,0,7,十字型,0,y,10,10,120.243528,22.982298,120.241165,23.060919000000002
582,L05420,海佃路四段(海佃路四段388巷107弄>十二佃路),I0267,I0542,75,2,0,0,7,十字型,0,y,10,10,120.17631100000001,23.066292999999998,120.176469,23.067172
583,L05424,公學路四段(公學路四段122號前>十二佃路),I0072,I0542,100,2,0,0,7,十字型,0,y,10,10,120.176278,23.068414999999998,120.176469,23.067172
584,L05430,文賢路(西和路>文和街),I0011,I0543,65,2,0,0,7,十字型,0,y,10,10,120.19381000000001,23.00346,120.193748,23.004343
585,L05434,文賢路(武聖路>文和街),I0094,I0543,75,2,0,0,7,十字型,0,y,10,10,120.193673,23.00535,120.193748,23.004343
586,L05440,北門路一段(民族路一段>火車站圓環),I0014,I0544,215,2,0,0,7,十字型,0,y,10,10,120.21183700000002,22.994525,120.21166200000002,22.997296
587,L05441,中山路(西華南街>火車站圓),I0238,I0544,190,2,0,0,7,十字型,0,y,10,10,120.20986299999998,22.99566,120.21166200000002,22.997296
588,L05442,成功路(西華街>火車站圓環),I0192,I0544,135,2,0,0,7,十字型,0,y,10,10,120.210232,22.997541000000002,120.21166200000002,22.997296
589,L05444,北門路二段(北忠路>火車站圓環),I0686,I0544,90,2,0,0,7,十字型,0,y,10,10,120.212483,22.998522,120.21166200000002,22.997296
590,L05452,民族路三段(金華路四段>康樂街),I0341,I0545,125,2,0,0,7,十字型,0,y,10,10,120.19515700000001,22.999189,120.196528,22.998685000000002
591,L05456,民族路三段(海安路>康樂街),I0069,I0545,110,2,0,0,7,十字型,0,y,10,10,120.197778,22.998253,120.196528,22.998685000000002
592,L05463,安中路一段(安中路一段699巷>安中路一段619巷),I0888,I0546,130,2,0,0,7,十字型,0,y,10,10,120.19644,23.042545999999998,120.19780700000001,23.041764
593,L05467,安中路一段(安中路1段560巷>安中路一段619巷),I0810,I0546,340,2,0,0,7,十字型,0,y,10,10,120.20093700000001,23.03999,120.19780700000001,23.041764
594,L11730,台19線(大聖路->州南六街),I1171,I1173,306,2,0,0,7,十字型,0,y,10,10,120.21850900000001,23.055455,120.21863300000001,23.058204
595,L26494,台19線(大聖路->台江大道),I1171,I2649,105,2,0,0,7,十字型,0,y,10,10,120.21850900000001,23.055455,,
596,L05480,西門路二段(民族路二段>郡緯街),I0423,I0548,55,2,0,0,7,十字型,0,y,10,10,120.20028,22.997985,120.20061499999998,22.998585000000002
597,L05484,西門路三段(成功路>郡緯街),I0346,I0548,125,2,0,0,7,十字型,0,y,10,10,120.20131699999999,22.999712,120.20061499999998,22.998585000000002
598,L05500,忠義路一段(五妃街>南寧街),I0458,I0550,250,2,0,0,7,十字型,0,y,10,10,120.201779,22.982623,120.201823,22.985086
599,L05502,南寧路(永褔路一段>忠義路一段),I0299,I0550,155,2,0,0,7,十字型,0,y,10,10,120.20014499999999,22.985101999999998,120.201823,22.985086
600,L05504,忠義路一段(樹林街二段>南寧街),I0570,I0550,125,2,0,0,7,十字型,0,y,10,10,120.201847,22.986322,120.201823,22.985086
601,L05506,南寧路(南門路>忠義路一段),I0354,I0550,220,2,0,0,7,十字型,0,y,10,10,120.20414699999999,22.984801,120.201823,22.985086
602,L05510,林森路三段(大學東路>東和路),I0215,I0551,270,2,0,0,7,十字型,0,y,10,10,120.224166,22.995854,120.22439399999999,22.998492000000002
603,L05514,林森路三段(小東路>東和路),I0370,I0551,200,2,0,0,7,十字型,0,y,10,10,120.224558,23.000557999999998,120.22439399999999,22.998492000000002
604,L05526,裕平路(裕農三街>中華東路二段133巷),I0718,I0552,395,2,0,0,7,十字型,0,y,10,10,120.23966100000001,22.985057,0.0,0.0
605,L05533,公學路(明興路>十二佃路),I0848,I0553,90,2,0,0,7,十字型,0,y,10,10,120.187106,22.958913,120.166177,23.069942
606,L05536,公學路(公學路四段122號>十二佃路),I0072,I0553,1000,2,0,0,7,十字型,0,y,10,10,120.176278,23.068414999999998,120.166177,23.069942
607,L26490,台19線(安和路四段75巷->台江大道),I0752,I2649,207,2,0,0,7,十字型,0,y,10,10,120.21876,23.052721,,
608,L05560,永福路二段(民生路一段>民權路二段),I0065,I0556,160,2,0,0,7,十字型,0,y,10,10,120.201277,22.993855,120.20181799999999,22.995425
609,L05562,民權路二段(西門路二段>忠義路二段),I0336,I0556,210,2,0,0,7,十字型,0,y,10,10,120.19962199999999,22.996064,120.20181799999999,22.995425
610,L05564,永福路二段(民族路二段>民權路二段),I0498,I0556,150,2,0,0,7,十字型,0,y,10,10,120.20250700000001,22.996879,120.20181799999999,22.995425
611,L05566,民權路二段(忠義路二段>永福路二段),I0499,I0556,165,2,0,0,7,十字型,0,y,10,10,120.203543,22.994879,120.20181799999999,22.995425
612,L05570,長榮路一段(府連東路>府東路),I0439,I0557,170,2,0,0,7,十字型,0,y,10,10,120.218047,22.984264000000003,120.21861100000001,22.985886999999998
613,L05574,長榮路二段(東門路二段>府東路),I0512,I0557,65,2,0,0,7,十字型,0,y,10,10,120.218847,22.986616,120.21861100000001,22.985886999999998
614,L05580,古堡街(運河路>安平路),I0088,I0558,130,2,0,0,7,十字型,0,y,10,10,120.16157,22.998931,120.16162299999999,23.000257
615,L05582,安平路(湖內二街>古堡街),I9805,I0558,263,2,0,0,7,十字型,0,y,10,10,120.15876899999999,22.99977,120.16162299999999,23.000257
616,L05584,古堡街(安北路>安平路),I0884,I0558,278,2,0,0,7,十字型,0,y,10,10,120.161052,23.002882,120.16162299999999,23.000257
617,L05586,安平路(平生路>古堡街),I0887,I0558,230,2,0,0,7,十字型,0,y,10,10,120.16399799999999,22.999707,120.16162299999999,23.000257
618,L05595,育德路(西門路四段65巷>西門路四段1巷),I0139,I0559,155,2,0,0,7,十字型,0,y,10,10,120.20491000000001,23.008461999999998,120.203902,23.007097
619,L05602,長和路二段(長和路二段140巷>長和路二段12巷),I0214,I0560,445,2,0,0,7,十字型,0,y,10,10,120.220183,23.063425,120.22466499999999,23.064251000000002
